task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	d1/bff4dd	716907	calling_pipeline:baktaVersion	CACHED	0	2026-01-12 18:50:30.524	7.4s	6.1s	98.3%	170.6 MB	2.5 GB	24.7 MB	26.2 KB
1	4f/73c489	716923	validate_sample_sheet	CACHED	0	2026-01-12 18:50:30.571	724ms	232ms	91.0%	12.6 MB	18.2 MB	1.1 MB	1.5 KB
2	6d/1012b6	716912	calling_pipeline:run_isolates:create_sourmash_picklist	CACHED	0	2026-01-12 18:50:30.544	5.2s	4.4s	114.1%	293.9 MB	2.4 GB	32.9 MB	10.9 MB
4	a5/b1a478	716919	calling_pipeline:getParams	CACHED	0	2026-01-12 18:50:30.557	685ms	8ms	47.1%	0	0	100.8 KB	3.7 KB
5	e7/21e348	720982	calling_pipeline:medakaVersion	CACHED	0	2026-01-12 18:50:38.177	5.3s	4.7s	91.2%	321 MB	756.4 MB	34 MB	6.3 KB
6	5f/de01c2	722577	calling_pipeline:mlstVersion	CACHED	0	2026-01-12 18:50:44.094	567ms	162ms	85.8%	10.1 MB	17.2 MB	957.7 KB	1.9 KB
9	02/71db88	723721	calling_pipeline:sourmashVersion	CACHED	0	2026-01-12 18:50:45.370	2.6s	2.2s	124.3%	110.5 MB	2.2 GB	15.4 MB	1.9 KB
10	a3/07128f	725143	calling_pipeline:mobsuiteVersion	CACHED	0	2026-01-12 18:50:48.592	2.5s	2.1s	136.9%	95.8 MB	2.3 GB	26.7 MB	2 KB
11	bc/9756c4	726271	calling_pipeline:resfinderVersion	CACHED	0	2026-01-12 18:50:51.704	2.3s	1.5s	132.7%	77.2 MB	2.2 GB	12.4 MB	2.1 KB
7	d6/1ca7e2	717463	fastcat (1)	CACHED	0	2026-01-12 18:50:31.343	5.6s	4.9s	408.3%	97.4 MB	527.1 MB	488.5 MB	489.5 MB
8	8e/aa5b3d	717503	fastcat (2)	CACHED	0	2026-01-12 18:50:31.440	1.2s	760ms	287.9%	94.9 MB	526.5 MB	72.1 MB	73 MB
